Elapsed time(s)	Potential(V)	Current(A)
1.852372e-01	-1.634216e-02	7.152557e-08
2.737239e-01	-1.400375e-02	9.536743e-08
3.618253e-01	-2.797318e-02	1.192093e-07
4.490740e-01	-1.138687e-02	1.430511e-07
7.135344e-01	-3.902435e-03	1.430511e-07
8.016718e-01	-7.125854e-03	1.549721e-07
8.895602e-01	-6.111145e-03	1.668930e-07
9.770104e-01	-4.959106e-03	1.311302e-07
1.241747e+00	-4.322052e-03	1.788139e-07
1.329907e+00	-1.652145e-02	9.536743e-08
1.417606e+00	-1.437759e-02	1.072884e-07
1.505288e+00	-2.592850e-02	1.549721e-07
1.769698e+00	-1.852417e-02	9.536743e-08
1.857317e+00	-1.100540e-02	8.344650e-08
1.946060e+00	-8.094788e-03	1.311302e-07
2.033578e+00	-9.937286e-03	4.768372e-08
2.297645e+00	-7.816315e-03	1.311302e-07
2.385736e+00	-7.572174e-03	5.960464e-08
2.473522e+00	-7.598877e-03	1.072884e-07
2.561281e+00	-7.400513e-03	1.311302e-07
2.825845e+00	-7.366180e-03	1.549721e-07
2.913577e+00	-7.362366e-03	1.072884e-07
