Elapsed time(s)	Potential(V)	Current(A)
1.596428e+00	1.006163e-01	-2.622604e-07
4.764854e+00	1.046975e-01	-2.582868e-07
7.932875e+00	1.062710e-01	-3.115998e-07
1.110086e+01	1.032141e-01	-3.235208e-07
1.426889e+01	1.160119e-01	-3.751781e-07
1.743679e+01	1.133206e-01	-3.811386e-07
2.060489e+01	1.115005e-01	-3.662374e-07
2.377316e+01	1.116192e-01	-3.768338e-07
