Elapsed time(s)	Potential(V)	Current(A)
1.819943e-01	-1.910400e-02	-6.318092e-07
2.707495e-01	-1.822281e-02	-5.722046e-07
3.577317e-01	-1.706314e-02	-5.960464e-07
4.464000e-01	-1.617813e-02	-6.318092e-07
7.099983e-01	-1.371765e-02	-6.556511e-07
7.986008e-01	-1.337433e-02	-6.914139e-07
8.864827e-01	-1.338196e-02	-6.079674e-07
9.745429e-01	-1.329803e-02	-5.841255e-07
1.238504e+00	-1.248932e-02	-6.318092e-07
1.325836e+00	-1.229858e-02	-6.079674e-07
1.413588e+00	-1.199722e-02	-5.841255e-07
1.501906e+00	-1.184464e-02	-5.245209e-07
1.766413e+00	-1.123428e-02	-6.079674e-07
1.854185e+00	-1.111603e-02	-6.079674e-07
1.941990e+00	-1.110077e-02	-6.198883e-07
2.030377e+00	-1.042557e-02	-6.437302e-07
