Elapsed time(s)	Potential(V)	Current(A)
3.254162e-02	1.345634e-01	-4.410744e-07
1.227168e-01	1.363983e-01	-4.172325e-07
2.111835e-01	1.357994e-01	-4.053116e-07
2.991779e-01	1.356163e-01	-3.814697e-07
3.866149e-01	1.356354e-01	-5.006790e-07
4.751473e-01	1.358528e-01	-4.172325e-07
5.627626e-01	1.360626e-01	-4.172325e-07
6.503784e-01	1.361885e-01	-4.649162e-07
7.389814e-01	1.365166e-01	-3.933907e-07
8.268135e-01	1.369896e-01	-2.980232e-07
9.147175e-01	1.373863e-01	-3.576279e-07
1.002585e+00	1.375008e-01	-3.099442e-07
1.091031e+00	1.371269e-01	-4.172325e-07
1.178483e+00	1.392097e-01	-4.529953e-07
1.266960e+00	1.416435e-01	-2.622604e-07
1.355093e+00	1.414299e-01	-3.576279e-07
1.442506e+00	1.403885e-01	-3.933907e-07
1.530341e+00	1.400986e-01	-3.933907e-07
1.618394e+00	1.388206e-01	-4.053116e-07
1.706338e+00	1.385727e-01	-4.410744e-07
1.794431e+00	1.388283e-01	-3.814697e-07
1.882831e+00	1.390190e-01	-4.291534e-07
1.970853e+00	1.393318e-01	-3.814697e-07
2.059012e+00	1.437454e-01	-4.053116e-07
2.146752e+00	1.448059e-01	-4.172325e-07
2.235003e+00	1.438332e-01	-3.337860e-07
2.322571e+00	1.433868e-01	-4.768372e-07
2.411302e+00	1.434479e-01	-4.649162e-07
2.498662e+00	1.423912e-01	-3.814697e-07
2.587074e+00	1.406479e-01	-3.576279e-07
2.674832e+00	1.394119e-01	-3.933907e-07
2.763036e+00	1.385117e-01	-5.006790e-07
2.850414e+00	1.383514e-01	-3.576279e-07
2.939035e+00	1.384163e-01	-3.814697e-07
3.027185e+00	1.384468e-01	-3.933907e-07
3.114382e+00	1.384048e-01	-3.099442e-07
3.202578e+00	1.385307e-01	-2.980232e-07
3.291252e+00	1.386223e-01	-4.291534e-07
3.378513e+00	1.385651e-01	-4.529953e-07
3.466832e+00	1.385841e-01	-3.337860e-07
3.554994e+00	1.386490e-01	-3.218651e-07
3.642472e+00	1.382141e-01	-4.410744e-07
3.730988e+00	1.381607e-01	-2.861023e-07
3.819267e+00	1.388245e-01	-3.457069e-07
3.906770e+00	1.387596e-01	-2.980232e-07
3.995122e+00	1.389694e-01	-3.218651e-07
4.082373e+00	1.379967e-01	-3.695488e-07
4.170854e+00	1.385422e-01	-3.218651e-07
4.258468e+00	1.388168e-01	-3.695488e-07
4.346771e+00	1.386147e-01	-3.933907e-07
4.435047e+00	1.385460e-01	-3.218651e-07
4.522352e+00	1.388016e-01	-2.980232e-07
4.610719e+00	1.382904e-01	-3.337860e-07
4.698364e+00	1.381760e-01	-3.576279e-07
4.787178e+00	1.382446e-01	-4.172325e-07
4.874543e+00	1.372414e-01	-2.145767e-07
4.963156e+00	1.373749e-01	-3.337860e-07
5.050494e+00	1.371078e-01	-2.622604e-07
5.138856e+00	1.371841e-01	-3.218651e-07
5.227282e+00	1.368294e-01	-3.457069e-07
5.314714e+00	1.374550e-01	-2.503395e-07
5.403187e+00	1.371040e-01	-3.814697e-07
5.490531e+00	1.378937e-01	-3.099442e-07
5.579179e+00	1.373024e-01	-4.649162e-07
5.666817e+00	1.373291e-01	-4.887581e-07
5.755177e+00	1.380081e-01	-3.695488e-07
5.843156e+00	1.382294e-01	-3.695488e-07
5.930792e+00	1.377411e-01	-3.695488e-07
6.018481e+00	1.370583e-01	-4.172325e-07
6.106382e+00	1.372757e-01	-3.337860e-07
6.195062e+00	1.370125e-01	-3.695488e-07
6.282757e+00	1.377525e-01	-4.410744e-07
6.370807e+00	1.371231e-01	-3.695488e-07
6.458767e+00	1.372948e-01	-3.457069e-07
6.546514e+00	1.373520e-01	-2.741814e-07
6.635226e+00	1.372833e-01	-4.529953e-07
6.723000e+00	1.367798e-01	-4.172325e-07
6.810837e+00	1.366806e-01	-3.218651e-07
6.898686e+00	1.369019e-01	-2.741814e-07
6.986478e+00	1.370392e-01	-3.576279e-07
7.075182e+00	1.370811e-01	-3.695488e-07
7.162959e+00	1.368675e-01	-4.053116e-07
7.250729e+00	1.368561e-01	-2.264977e-07
7.338534e+00	1.368370e-01	-2.026558e-07
7.426484e+00	1.368256e-01	-3.695488e-07
7.515229e+00	1.368484e-01	-4.410744e-07
7.603143e+00	1.368599e-01	-4.053116e-07
7.691152e+00	1.370354e-01	-4.529953e-07
7.779186e+00	1.372566e-01	-2.861023e-07
7.867189e+00	1.374664e-01	-4.053116e-07
7.955160e+00	1.373901e-01	-3.814697e-07
8.043210e+00	1.375275e-01	-3.695488e-07
8.130461e+00	1.374207e-01	-2.980232e-07
8.218645e+00	1.376038e-01	-4.172325e-07
8.306746e+00	1.375961e-01	-3.695488e-07
8.394739e+00	1.379051e-01	-3.576279e-07
8.482549e+00	1.379356e-01	-3.695488e-07
8.571180e+00	1.380196e-01	-3.337860e-07
8.658969e+00	1.382713e-01	-3.576279e-07
8.746830e+00	1.382294e-01	-3.218651e-07
8.834758e+00	1.382561e-01	-4.887581e-07
8.922677e+00	1.383629e-01	-4.529953e-07
9.010392e+00	1.381531e-01	-3.457069e-07
9.099202e+00	1.383133e-01	-3.337860e-07
9.187041e+00	1.386375e-01	-3.337860e-07
9.275087e+00	1.382599e-01	-4.529953e-07
9.363181e+00	1.382523e-01	-3.576279e-07
9.451166e+00	1.382675e-01	-4.172325e-07
9.539130e+00	1.384468e-01	-3.814697e-07
9.627116e+00	1.387520e-01	-4.410744e-07
9.714412e+00	1.395569e-01	-5.006790e-07
9.802852e+00	1.393242e-01	-4.410744e-07
9.890371e+00	1.386757e-01	-2.861023e-07
9.979326e+00	1.389351e-01	-3.457069e-07
1.006635e+01	1.387672e-01	-3.814697e-07
1.015526e+01	1.387177e-01	-4.172325e-07
1.024318e+01	1.389160e-01	-3.933907e-07
1.033127e+01	1.388435e-01	-3.814697e-07
1.041932e+01	1.392288e-01	-4.768372e-07
1.050647e+01	1.393776e-01	-5.125999e-07
1.059477e+01	1.394577e-01	-4.529953e-07
1.068300e+01	1.394730e-01	-3.576279e-07
1.077119e+01	1.388893e-01	-3.695488e-07
1.085919e+01	1.392174e-01	-4.410744e-07
1.094651e+01	1.393471e-01	-3.695488e-07
1.103457e+01	1.392288e-01	-3.337860e-07
1.112262e+01	1.388206e-01	-3.933907e-07
1.121074e+01	1.390610e-01	-4.053116e-07
1.129890e+01	1.390381e-01	-4.053116e-07
1.138671e+01	1.393166e-01	-4.291534e-07
1.147443e+01	1.390266e-01	-3.457069e-07
1.156320e+01	1.389275e-01	-2.741814e-07
1.165089e+01	1.389389e-01	-3.695488e-07
1.173850e+01	1.388779e-01	-3.814697e-07
1.182728e+01	1.389236e-01	-2.145767e-07
1.191504e+01	1.389046e-01	-5.006790e-07
1.200312e+01	1.389885e-01	-4.053116e-07
1.209120e+01	1.390152e-01	-4.291534e-07
1.217898e+01	1.390648e-01	-3.695488e-07
1.226678e+01	1.393776e-01	-4.887581e-07
1.235445e+01	1.396103e-01	-3.933907e-07
1.244248e+01	1.396523e-01	-4.649162e-07
1.253118e+01	1.397133e-01	-3.814697e-07
1.261899e+01	1.397171e-01	-3.576279e-07
1.270678e+01	1.399536e-01	-2.861023e-07
1.279456e+01	1.398544e-01	-4.887581e-07
1.288332e+01	1.397820e-01	-3.457069e-07
1.297116e+01	1.399078e-01	-2.980232e-07
1.305906e+01	1.398659e-01	-4.291534e-07
1.314699e+01	1.398621e-01	-4.053116e-07
1.323485e+01	1.397743e-01	-3.337860e-07
1.332267e+01	1.397896e-01	-3.218651e-07
1.341047e+01	1.396790e-01	-3.814697e-07
1.349927e+01	1.395607e-01	-4.529953e-07
1.358715e+01	1.396980e-01	-2.741814e-07
1.367504e+01	1.397514e-01	-4.410744e-07
1.376237e+01	1.398010e-01	-3.218651e-07
1.385051e+01	1.392441e-01	-5.364418e-07
1.393891e+01	1.394196e-01	-4.410744e-07
1.402717e+01	1.395874e-01	-2.861023e-07
1.411434e+01	1.394882e-01	-4.053116e-07
1.420247e+01	1.395378e-01	-4.053116e-07
1.429066e+01	1.394920e-01	-3.218651e-07
1.437878e+01	1.397247e-01	-3.457069e-07
1.446690e+01	1.396942e-01	-3.218651e-07
1.455485e+01	1.394958e-01	-3.457069e-07
1.464299e+01	1.396751e-01	-3.933907e-07
1.473122e+01	1.397133e-01	-4.291534e-07
1.481919e+01	1.397209e-01	-3.576279e-07
1.490661e+01	1.398773e-01	-3.457069e-07
1.499471e+01	1.398849e-01	-2.980232e-07
1.508274e+01	1.397743e-01	-3.933907e-07
1.517068e+01	1.398506e-01	-2.384186e-07
1.525863e+01	1.398201e-01	-2.861023e-07
1.534659e+01	1.399269e-01	-4.529953e-07
1.543467e+01	1.399879e-01	-4.529953e-07
1.552264e+01	1.400528e-01	-4.172325e-07
1.561062e+01	1.401138e-01	-3.576279e-07
1.569859e+01	1.401711e-01	-2.741814e-07
1.578674e+01	1.403618e-01	-3.337860e-07
1.587481e+01	1.406441e-01	-4.053116e-07
1.596305e+01	1.402702e-01	-3.814697e-07
1.605048e+01	1.405563e-01	-2.384186e-07
1.613882e+01	1.404114e-01	-4.529953e-07
1.622716e+01	1.404114e-01	-3.457069e-07
1.631525e+01	1.404762e-01	-3.695488e-07
1.640244e+01	1.404305e-01	-4.649162e-07
1.649045e+01	1.401825e-01	-3.218651e-07
1.657846e+01	1.403961e-01	-5.245209e-07
1.666686e+01	1.405602e-01	-3.218651e-07
1.675446e+01	1.407547e-01	-5.125999e-07
1.684286e+01	1.403847e-01	-5.006790e-07
1.693046e+01	1.406441e-01	-4.172325e-07
1.701912e+01	1.396408e-01	-4.291534e-07
1.710684e+01	1.400108e-01	-4.053116e-07
1.719495e+01	1.406288e-01	-4.529953e-07
1.728244e+01	1.402512e-01	-3.814697e-07
1.737095e+01	1.406517e-01	-3.695488e-07
1.745851e+01	1.403656e-01	-3.814697e-07
1.754698e+01	1.408501e-01	-4.172325e-07
1.763454e+01	1.408997e-01	-4.529953e-07
1.772277e+01	1.412010e-01	-4.172325e-07
1.781087e+01	1.406555e-01	-5.125999e-07
1.789929e+01	1.403008e-01	-4.410744e-07
1.798701e+01	1.405830e-01	-4.410744e-07
1.807459e+01	1.398888e-01	-3.457069e-07
1.816304e+01	1.403198e-01	-3.576279e-07
1.825108e+01	1.406059e-01	-5.125999e-07
1.833899e+01	1.408844e-01	-4.053116e-07
1.842656e+01	1.414261e-01	-4.649162e-07
1.851485e+01	1.402664e-01	-3.814697e-07
1.860243e+01	1.404533e-01	-3.814697e-07
1.869052e+01	1.405640e-01	-4.649162e-07
1.877918e+01	1.397209e-01	-4.887581e-07
1.886689e+01	1.403389e-01	-4.291534e-07
1.895449e+01	1.403847e-01	-4.053116e-07
1.904285e+01	1.409836e-01	-3.337860e-07
1.913047e+01	1.411514e-01	-5.006790e-07
1.921901e+01	1.413002e-01	-4.768372e-07
1.930661e+01	1.417961e-01	-4.172325e-07
1.939519e+01	1.415901e-01	-4.529953e-07
1.948259e+01	1.411858e-01	-4.887581e-07
1.957118e+01	1.406708e-01	-4.529953e-07
1.965863e+01	1.404533e-01	-4.649162e-07
1.974719e+01	1.403885e-01	-3.933907e-07
1.983459e+01	1.404190e-01	-3.695488e-07
1.992301e+01	1.404076e-01	-3.933907e-07
2.001039e+01	1.407852e-01	-3.933907e-07
2.009916e+01	1.408081e-01	-3.695488e-07
2.018649e+01	1.403885e-01	-5.006790e-07
2.027531e+01	1.409607e-01	-3.218651e-07
2.036318e+01	1.410751e-01	-3.457069e-07
2.045070e+01	1.410332e-01	-4.053116e-07
2.053916e+01	1.405830e-01	-4.172325e-07
2.062671e+01	1.406403e-01	-4.649162e-07
2.071513e+01	1.407051e-01	-2.980232e-07
2.080283e+01	1.410294e-01	-4.291534e-07
2.089128e+01	1.411324e-01	-4.529953e-07
2.097872e+01	1.408768e-01	-4.053116e-07
2.106710e+01	1.409149e-01	-4.053116e-07
2.115466e+01	1.403961e-01	-3.933907e-07
2.124245e+01	1.409035e-01	-5.006790e-07
2.133035e+01	1.405983e-01	-5.722046e-07
2.141886e+01	1.407547e-01	-5.245209e-07
2.150727e+01	1.411705e-01	-4.529953e-07
2.159517e+01	1.411285e-01	-3.337860e-07
2.168289e+01	1.411591e-01	-4.053116e-07
2.177117e+01	1.408195e-01	-4.529953e-07
2.185884e+01	1.411247e-01	-4.529953e-07
2.194644e+01	1.412621e-01	-5.602837e-07
2.203518e+01	1.414185e-01	-4.172325e-07
2.212312e+01	1.412430e-01	-5.364418e-07
2.221112e+01	1.412315e-01	-5.364418e-07
2.229861e+01	1.408997e-01	-4.291534e-07
2.238643e+01	1.409302e-01	-4.768372e-07
2.247504e+01	1.412468e-01	-4.291534e-07
2.256262e+01	1.414452e-01	-4.887581e-07
2.265119e+01	1.418228e-01	-3.218651e-07
2.273897e+01	1.421509e-01	-3.099442e-07
2.282650e+01	1.422882e-01	-3.814697e-07
2.291510e+01	1.420898e-01	-4.410744e-07
2.300260e+01	1.420135e-01	-3.933907e-07
2.309124e+01	1.419868e-01	-4.291534e-07
2.317897e+01	1.419525e-01	-3.337860e-07
2.326684e+01	1.420212e-01	-3.099442e-07
2.335452e+01	1.420937e-01	-4.410744e-07
2.344234e+01	1.418610e-01	-3.576279e-07
2.353100e+01	1.420479e-01	-4.053116e-07
2.361869e+01	1.418304e-01	-3.099442e-07
2.370644e+01	1.418343e-01	-3.457069e-07
2.379436e+01	1.419182e-01	-4.291534e-07
2.388316e+01	1.419296e-01	-3.933907e-07
2.397081e+01	1.417427e-01	-3.099442e-07
2.405859e+01	1.418839e-01	-3.576279e-07
2.414635e+01	1.420708e-01	-1.907349e-07
2.423508e+01	1.423035e-01	-5.245209e-07
2.432309e+01	1.422272e-01	-2.741814e-07
2.441116e+01	1.422234e-01	-3.695488e-07
2.449881e+01	1.422043e-01	-3.933907e-07
2.458656e+01	1.423492e-01	-3.457069e-07
2.467532e+01	1.423988e-01	-3.695488e-07
2.476290e+01	1.424751e-01	-2.741814e-07
2.485067e+01	1.424904e-01	-3.457069e-07
2.493844e+01	1.425552e-01	-4.529953e-07
2.502668e+01	1.423531e-01	-4.172325e-07
2.511481e+01	1.424942e-01	-4.053116e-07
2.520272e+01	1.425285e-01	-2.980232e-07
2.529088e+01	1.424980e-01	-3.099442e-07
2.537895e+01	1.427422e-01	-3.695488e-07
2.546706e+01	1.425018e-01	-3.218651e-07
2.555493e+01	1.423340e-01	-4.172325e-07
2.564302e+01	1.421165e-01	-2.861023e-07
2.573075e+01	1.420631e-01	-3.814697e-07
2.581860e+01	1.421051e-01	-3.337860e-07
2.590652e+01	1.422119e-01	-4.410744e-07
2.599440e+01	1.422119e-01	-2.861023e-07
2.608236e+01	1.423225e-01	-4.410744e-07
2.617132e+01	1.424713e-01	-2.980232e-07
2.625908e+01	1.423225e-01	-4.053116e-07
2.634684e+01	1.428108e-01	-4.291534e-07
2.643499e+01	1.428261e-01	-3.933907e-07
2.652284e+01	1.425400e-01	-4.887581e-07
2.661076e+01	1.423454e-01	-4.053116e-07
2.669902e+01	1.425285e-01	-4.768372e-07
2.678653e+01	1.429176e-01	-4.410744e-07
2.687503e+01	1.430397e-01	-4.887581e-07
2.696241e+01	1.427231e-01	-4.887581e-07
2.705083e+01	1.424599e-01	-4.291534e-07
2.713846e+01	1.421585e-01	-3.814697e-07
2.722694e+01	1.424904e-01	-2.622604e-07
2.731518e+01	1.425629e-01	-4.172325e-07
2.740282e+01	1.429749e-01	-4.768372e-07
2.749117e+01	1.433182e-01	-3.695488e-07
2.757848e+01	1.429253e-01	-3.576279e-07
2.766697e+01	1.430931e-01	-3.814697e-07
2.775438e+01	1.431427e-01	-4.529953e-07
2.784265e+01	1.431694e-01	-5.125999e-07
2.793039e+01	1.431465e-01	-3.814697e-07
2.801921e+01	1.431122e-01	-4.649162e-07
2.810654e+01	1.433563e-01	-4.887581e-07
2.819493e+01	1.432533e-01	-4.649162e-07
2.828238e+01	1.429329e-01	-4.410744e-07
2.837072e+01	1.429939e-01	-5.602837e-07
2.845850e+01	1.428871e-01	-4.410744e-07
2.854729e+01	1.429825e-01	-5.245209e-07
2.863492e+01	1.426010e-01	-5.125999e-07
2.872249e+01	1.425056e-01	-5.006790e-07
2.881106e+01	1.424332e-01	-3.814697e-07
2.889894e+01	1.426086e-01	-4.172325e-07
2.898670e+01	1.428909e-01	-4.053116e-07
2.907520e+01	1.426735e-01	-3.337860e-07
2.916277e+01	1.428642e-01	-3.695488e-07
2.925121e+01	1.417389e-01	-3.933907e-07
2.933890e+01	1.415749e-01	-3.457069e-07
2.942653e+01	1.408958e-01	-4.172325e-07
2.951531e+01	1.415100e-01	-4.768372e-07
2.960307e+01	1.423683e-01	-4.053116e-07
2.969058e+01	1.423836e-01	-3.457069e-07
2.977919e+01	1.420937e-01	-3.218651e-07
2.986676e+01	1.427765e-01	-3.695488e-07
2.995482e+01	1.428757e-01	-5.125999e-07
3.004269e+01	1.427917e-01	-4.529953e-07
3.013054e+01	1.427383e-01	-4.053116e-07
3.021916e+01	1.423798e-01	-4.768372e-07
3.030698e+01	1.425018e-01	-3.814697e-07
3.039483e+01	1.425285e-01	-3.218651e-07
3.048244e+01	1.428413e-01	-4.649162e-07
3.057095e+01	1.422081e-01	-4.410744e-07
3.065882e+01	1.426888e-01	-3.576279e-07
3.074665e+01	1.428070e-01	-4.410744e-07
3.083531e+01	1.426239e-01	-3.933907e-07
3.092283e+01	1.429749e-01	-4.172325e-07
3.101039e+01	1.427994e-01	-5.602837e-07
3.109920e+01	1.423111e-01	-4.291534e-07
3.118727e+01	1.422119e-01	-5.006790e-07
3.127508e+01	1.428146e-01	-3.457069e-07
3.136315e+01	1.422729e-01	-4.172325e-07
3.145117e+01	1.420021e-01	-4.410744e-07
3.153877e+01	1.425743e-01	-4.172325e-07
3.162662e+01	1.424599e-01	-4.649162e-07
3.171452e+01	1.422119e-01	-3.933907e-07
3.180236e+01	1.422729e-01	-3.695488e-07
3.189099e+01	1.426277e-01	-4.172325e-07
3.197883e+01	1.428185e-01	-3.457069e-07
3.206651e+01	1.434097e-01	-2.741814e-07
3.215505e+01	1.430054e-01	-4.053116e-07
3.224277e+01	1.432304e-01	-4.172325e-07
3.233043e+01	1.431122e-01	-4.410744e-07
3.241903e+01	1.432915e-01	-4.291534e-07
3.250673e+01	1.425400e-01	-3.099442e-07
3.259443e+01	1.424789e-01	-4.768372e-07
3.268234e+01	1.421852e-01	-4.410744e-07
3.277074e+01	1.422424e-01	-3.695488e-07
3.285844e+01	1.419678e-01	-3.695488e-07
3.294698e+01	1.422005e-01	-3.695488e-07
3.303462e+01	1.422997e-01	-4.887581e-07
3.312334e+01	1.422577e-01	-4.649162e-07
3.321087e+01	1.421928e-01	-3.933907e-07
3.329856e+01	1.422081e-01	-4.768372e-07
3.338718e+01	1.422348e-01	-3.457069e-07
3.347488e+01	1.424141e-01	-4.172325e-07
3.356261e+01	1.425705e-01	-4.410744e-07
3.365066e+01	1.428261e-01	-4.291534e-07
3.373843e+01	1.428947e-01	-4.053116e-07
3.382686e+01	1.430130e-01	-4.529953e-07
3.391435e+01	1.431160e-01	-5.245209e-07
3.400307e+01	1.430359e-01	-3.218651e-07
3.409078e+01	1.430550e-01	-3.576279e-07
3.417930e+01	1.445122e-01	-2.980232e-07
3.426703e+01	1.468430e-01	-3.576279e-07
3.435478e+01	1.547966e-01	-4.529953e-07
3.444300e+01	1.520500e-01	-4.887581e-07
3.453070e+01	1.478806e-01	-5.841255e-07
3.461866e+01	1.453590e-01	-3.814697e-07
3.470718e+01	1.446762e-01	-4.529953e-07
3.479474e+01	1.445045e-01	-4.887581e-07
3.488317e+01	1.429901e-01	-4.768372e-07
3.497088e+01	1.416931e-01	-3.933907e-07
3.505875e+01	1.412086e-01	-5.245209e-07
3.514674e+01	1.416702e-01	-5.125999e-07
3.523459e+01	1.427536e-01	-4.291534e-07
3.532262e+01	1.474342e-01	-4.529953e-07
3.541053e+01	1.456490e-01	-4.291534e-07
3.549850e+01	1.429138e-01	-4.768372e-07
3.558661e+01	1.423798e-01	-4.172325e-07
3.567441e+01	1.425285e-01	-4.649162e-07
3.576307e+01	1.427040e-01	-5.006790e-07
3.585094e+01	1.435280e-01	-5.006790e-07
3.593876e+01	1.435471e-01	-4.768372e-07
3.602667e+01	1.438751e-01	-5.364418e-07
3.611461e+01	1.442413e-01	-4.768372e-07
3.620241e+01	1.448326e-01	-4.291534e-07
3.629128e+01	1.445580e-01	-4.529953e-07
3.637885e+01	1.441422e-01	-4.053116e-07
3.646676e+01	1.436882e-01	-4.172325e-07
3.655441e+01	1.393929e-01	-4.529953e-07
3.664327e+01	1.428909e-01	-4.649162e-07
3.673111e+01	1.440697e-01	-5.006790e-07
3.681919e+01	1.416130e-01	-4.410744e-07
3.690732e+01	1.385727e-01	-4.410744e-07
3.699519e+01	1.379929e-01	-4.649162e-07
3.708305e+01	1.373520e-01	-4.410744e-07
3.717097e+01	1.377831e-01	-4.053116e-07
3.725884e+01	1.375847e-01	-4.291534e-07
3.734648e+01	1.387901e-01	-3.695488e-07
