Elapsed time(s)	Potential(V)	Current(A)
1.952938e-01	1.361198e-01	-4.529953e-07
2.827739e-01	1.369553e-01	-5.602837e-07
5.471258e-01	1.390419e-01	-5.364418e-07
6.344563e-01	1.391106e-01	-4.529953e-07
7.231955e-01	1.376495e-01	-4.768372e-07
8.112552e-01	1.395836e-01	-5.125999e-07
1.075052e+00	1.393280e-01	-3.933907e-07
1.162474e+00	1.384888e-01	-5.841255e-07
1.250642e+00	1.380959e-01	-3.576279e-07
1.338327e+00	1.374855e-01	-5.483627e-07
1.603461e+00	1.359596e-01	-4.649162e-07
1.691011e+00	1.355705e-01	-5.006790e-07
1.779090e+00	1.351280e-01	-4.410744e-07
1.866510e+00	1.350441e-01	-4.053116e-07
2.130996e+00	1.347389e-01	-5.006790e-07
2.219290e+00	1.343536e-01	-5.841255e-07
2.307218e+00	1.343269e-01	-4.172325e-07
2.395183e+00	1.342278e-01	-4.529953e-07
2.658481e+00	1.341934e-01	-4.887581e-07
2.747202e+00	1.338959e-01	-4.410744e-07
2.834869e+00	1.338120e-01	-5.364418e-07
2.922991e+00	1.338463e-01	-6.079674e-07
3.187185e+00	1.339760e-01	-4.768372e-07
3.274569e+00	1.339111e-01	-6.794930e-07
3.363427e+00	1.339493e-01	-4.410744e-07
3.450841e+00	1.340141e-01	-4.053116e-07
3.715363e+00	1.341133e-01	-4.172325e-07
3.802547e+00	1.341438e-01	-4.887581e-07
3.891384e+00	1.341133e-01	-5.364418e-07
3.978850e+00	1.340599e-01	-4.529953e-07
4.242548e+00	1.341782e-01	-5.006790e-07
4.331013e+00	1.339874e-01	-4.291534e-07
4.419414e+00	1.340332e-01	-5.602837e-07
4.507057e+00	1.339798e-01	-5.125999e-07
4.770683e+00	1.341171e-01	-5.125999e-07
4.858951e+00	1.342049e-01	-5.245209e-07
4.946806e+00	1.343155e-01	-4.172325e-07
5.035444e+00	1.343727e-01	-4.291534e-07
5.298639e+00	1.346283e-01	-5.602837e-07
5.386718e+00	1.347237e-01	-4.768372e-07
5.474988e+00	1.348343e-01	-4.887581e-07
5.562953e+00	1.348343e-01	-5.841255e-07
5.827291e+00	1.350975e-01	-5.006790e-07
5.914921e+00	1.348038e-01	-4.172325e-07
