Elapsed time(s)	Potential(V)	Current(A)
1.805232e-01	1.293640e-01	-3.576279e-07
2.684063e-01	1.293526e-01	-4.529953e-07
3.567742e-01	1.293373e-01	-5.364418e-07
4.449189e-01	1.293907e-01	-4.768372e-07
7.126056e-01	1.294479e-01	-5.125999e-07
8.009579e-01	1.293526e-01	-5.364418e-07
8.890709e-01	1.293869e-01	-5.483627e-07
9.766454e-01	1.297913e-01	-6.318092e-07
1.240621e+00	1.297188e-01	-4.887581e-07
1.328606e+00	1.291351e-01	-5.602837e-07
1.417015e+00	1.290092e-01	-4.410744e-07
1.504608e+00	1.293526e-01	-4.768372e-07
1.775120e+00	1.293068e-01	-5.006790e-07
1.857305e+00	1.293983e-01	-5.602837e-07
1.944587e+00	1.297379e-01	-4.768372e-07
2.032869e+00	1.297531e-01	-4.172325e-07
2.296868e+00	1.303062e-01	-5.245209e-07
2.384515e+00	1.303978e-01	-5.483627e-07
