Elapsed time(s)	Potential(V)	Current(A)
1.821153e-01	-3.288269e-03	-2.384186e-08
2.701178e-01	-3.269196e-03	-8.344650e-08
3.583932e-01	-3.211975e-03	-2.384186e-08
4.463118e-01	-3.185272e-03	-1.192093e-08
7.102647e-01	-3.158569e-03	-4.768372e-08
7.977683e-01	-3.330231e-03	-5.960464e-08
8.858482e-01	-3.623962e-03	-2.384186e-08
9.736001e-01	-3.658295e-03	1.192093e-08
1.237938e+00	-3.993988e-03	1.192093e-08
1.326456e+00	-3.875732e-03	-3.576279e-08
1.414453e+00	-3.856659e-03	-3.576279e-08
1.502441e+00	-3.677368e-03	-5.960464e-08
1.765883e+00	-3.360748e-03	-5.960464e-08
1.854021e+00	-3.593445e-03	-5.960464e-08
1.942615e+00	-3.429413e-03	1.192093e-08
2.030157e+00	-3.627777e-03	-3.576279e-08
2.294148e+00	-3.612518e-03	-2.384186e-08
2.382324e+00	-3.471375e-03	2.384186e-08
2.470357e+00	-3.681183e-03	0.000000e+00
2.558339e+00	-3.650665e-03	-1.192093e-08
2.822021e+00	-3.063202e-03	-5.960464e-08
2.909478e+00	-3.051758e-03	-2.384186e-08
2.997967e+00	-3.414154e-03	-4.768372e-08
