Elapsed time(s)	Potential(V)	Current(A)
1.833912e-01	7.056923e-01	-1.847744e-06
2.716895e-01	6.941986e-01	-1.847744e-06
3.593805e-01	6.836014e-01	-1.871586e-06
4.470086e-01	6.740837e-01	-1.895428e-06
7.109098e-01	6.502228e-01	-1.883507e-06
7.989643e-01	6.433144e-01	-1.919270e-06
8.872330e-01	6.367264e-01	-1.871586e-06
9.753224e-01	6.305695e-01	-1.859665e-06
1.239359e+00	6.121902e-01	-1.895428e-06
1.327507e+00	6.074371e-01	-1.955032e-06
1.415373e+00	6.026535e-01	-1.871586e-06
1.502918e+00	5.976524e-01	-1.883507e-06
1.767350e+00	5.855331e-01	-1.895428e-06
1.855590e+00	5.813828e-01	-1.859665e-06
1.942747e+00	5.794601e-01	-1.859665e-06
3.086959e+00	5.755844e-01	-1.871586e-06
3.351136e+00	5.357323e-01	-1.859665e-06
3.439297e+00	5.334816e-01	-1.871586e-06
3.527715e+00	5.312653e-01	-1.883507e-06
3.615190e+00	5.288048e-01	-1.895428e-06
3.879424e+00	5.226479e-01	-1.895428e-06
3.967116e+00	5.205994e-01	-1.871586e-06
4.055707e+00	5.185966e-01	-1.907349e-06
4.143254e+00	5.166054e-01	-1.811981e-06
4.407308e+00	5.104752e-01	-1.943111e-06
4.495422e+00	5.085411e-01	-1.907349e-06
4.583574e+00	5.064812e-01	-1.811981e-06
4.671141e+00	5.045700e-01	-1.883507e-06
5.903585e+00	4.828835e-01	-1.919270e-06
5.991583e+00	4.813499e-01	-1.955032e-06
6.079064e+00	4.799919e-01	-1.919270e-06
6.167700e+00	4.791794e-01	-1.871586e-06
6.431375e+00	4.774208e-01	-1.883507e-06
6.519072e+00	4.764557e-01	-1.835823e-06
6.607273e+00	4.754868e-01	-1.931190e-06
6.694913e+00	4.743080e-01	-1.871586e-06
6.959654e+00	4.700737e-01	-1.823902e-06
7.047308e+00	4.687233e-01	-1.835823e-06
7.134994e+00	4.673004e-01	-1.895428e-06
7.222965e+00	4.661713e-01	-1.871586e-06
7.487490e+00	4.626350e-01	-1.776218e-06
7.575344e+00	4.615211e-01	-1.811981e-06
7.663460e+00	4.603996e-01	-1.859665e-06
7.751416e+00	4.592819e-01	-1.823902e-06
8.015056e+00	4.554901e-01	-1.859665e-06
8.102974e+00	4.542465e-01	-1.800060e-06
8.191262e+00	4.529724e-01	-1.871586e-06
8.279044e+00	4.518509e-01	-1.835823e-06
8.543538e+00	4.490395e-01	-1.800060e-06
8.631109e+00	4.480438e-01	-1.835823e-06
8.719411e+00	4.472046e-01	-1.859665e-06
8.807516e+00	4.465218e-01	-1.859665e-06
1.021525e+01	4.338417e-01	-1.919270e-06
1.030313e+01	4.329376e-01	-1.931190e-06
1.039144e+01	4.318924e-01	-1.919270e-06
1.047967e+01	4.308929e-01	-1.883507e-06
1.074322e+01	4.279900e-01	-1.835823e-06
1.083096e+01	4.270058e-01	-1.847744e-06
1.091881e+01	4.262047e-01	-1.847744e-06
1.100735e+01	4.253807e-01	-1.883507e-06
1.127165e+01	4.229164e-01	-1.919270e-06
1.135908e+01	4.224014e-01	-1.823902e-06
1.144694e+01	4.217529e-01	-1.931190e-06
1.153559e+01	4.209137e-01	-1.811981e-06
1.179914e+01	4.188766e-01	-1.835823e-06
1.188772e+01	4.181671e-01	-1.895428e-06
1.197532e+01	4.174118e-01	-1.811981e-06
1.206288e+01	4.167175e-01	-1.883507e-06
1.232752e+01	4.147110e-01	-1.883507e-06
1.241555e+01	4.137268e-01	-1.955032e-06
1.250308e+01	4.130669e-01	-1.919270e-06
1.259078e+01	4.122581e-01	-1.895428e-06
