Elapsed time(s)	Potential(V)	Current(A)
1.808158e-01	-1.273727e-02	-6.079674e-07
2.691523e-01	-1.285172e-02	-6.914139e-07
3.609403e-01	-1.079178e-02	-7.033348e-07
4.483959e-01	-1.026535e-02	-6.437302e-07
7.124546e-01	-1.082611e-02	-6.914139e-07
8.007879e-01	-1.317978e-02	-6.794930e-07
8.883299e-01	-1.511002e-02	-6.794930e-07
9.762852e-01	1.602173e-04	-5.722046e-07
2.472896e+00	-7.755280e-03	-5.841255e-07
2.560551e+00	-7.537842e-03	-5.960464e-07
2.648828e+00	-7.377625e-03	-6.437302e-07
2.736466e+00	-7.118225e-03	-5.841255e-07
3.000897e+00	-6.496429e-03	-6.318092e-07
3.089255e+00	-6.313324e-03	-6.079674e-07
3.176441e+00	-6.160736e-03	-6.318092e-07
3.264763e+00	-5.977631e-03	-6.318092e-07
3.528835e+00	-5.886078e-03	-5.602837e-07
3.616821e+00	-8.083344e-03	-6.675720e-07
3.705110e+00	-9.101868e-03	-6.079674e-07
3.792611e+00	-9.269714e-03	-6.198883e-07
4.057032e+00	-6.641388e-03	-6.675720e-07
4.145189e+00	-5.889893e-03	-6.556511e-07
4.232520e+00	-5.470276e-03	-6.437302e-07
4.320566e+00	-5.252838e-03	-5.841255e-07
4.584555e+00	-1.102448e-03	-7.033348e-07
4.673111e+00	-3.837585e-03	-6.675720e-07
4.760348e+00	-5.111694e-03	-6.914139e-07
