Elapsed time(s)	Potential(V)	Current(A)
1.844031e-01	-2.531815e-02	-4.529953e-07
2.725721e-01	-2.303696e-02	-3.933907e-07
3.611493e-01	-2.143860e-02	-4.887581e-07
4.523306e-01	-2.033997e-02	-4.768372e-07
7.168696e-01	-1.832199e-02	-4.768372e-07
8.048319e-01	-1.767349e-02	-4.649162e-07
8.924705e-01	-1.705551e-02	-4.529953e-07
9.805629e-01	-1.657867e-02	-4.768372e-07
1.244747e+00	-1.523590e-02	-4.291534e-07
1.333173e+00	-1.502991e-02	-3.814697e-07
1.420461e+00	-1.472473e-02	-4.768372e-07
1.508476e+00	-1.449203e-02	-4.291534e-07
1.773107e+00	-1.391602e-02	-5.245209e-07
1.860591e+00	-1.366425e-02	-4.410744e-07
1.948611e+00	-1.361847e-02	-4.768372e-07
2.036814e+00	-1.362228e-02	-4.172325e-07
2.300928e+00	-1.304245e-02	-5.006790e-07
2.388647e+00	-1.290894e-02	-4.291534e-07
2.476201e+00	-1.284409e-02	-4.410744e-07
2.565034e+00	-1.273727e-02	-5.125999e-07
2.829173e+00	-1.243973e-02	-4.887581e-07
2.916875e+00	-1.240921e-02	-5.006790e-07
3.005019e+00	-1.226807e-02	-4.768372e-07
3.092984e+00	-1.224518e-02	-4.887581e-07
3.357126e+00	-1.197433e-02	-4.649162e-07
3.444886e+00	-1.186752e-02	-5.602837e-07
3.532922e+00	-1.183319e-02	-5.602837e-07
3.620799e+00	-1.174927e-02	-5.125999e-07
