Elapsed time(s)	Potential(V)	Current(A)
1.935600e-01	3.039818e-01	1.192093e-10
2.809971e-01	3.039322e-01	-5.960464e-10
3.693140e-01	3.040886e-01	-1.192093e-10
4.568736e-01	3.041496e-01	1.192093e-10
7.207848e-01	3.043594e-01	-9.536743e-10
8.091105e-01	3.043404e-01	-4.768372e-10
8.969612e-01	3.044395e-01	-1.192093e-09
9.846754e-01	3.044167e-01	-1.311302e-09
1.249560e+00	3.045044e-01	-1.788139e-09
1.337046e+00	3.044472e-01	-4.768372e-10
1.425519e+00	3.044739e-01	-5.960464e-10
1.513383e+00	3.044891e-01	-3.576279e-10
1.777048e+00	3.046799e-01	-9.536743e-10
1.864912e+00	3.047142e-01	-1.192093e-09
1.952654e+00	3.046265e-01	-2.026558e-09
2.041332e+00	3.047104e-01	-1.430511e-09
2.305178e+00	3.049278e-01	-2.503395e-09
2.393450e+00	3.049164e-01	-1.192093e-10
2.480974e+00	3.049622e-01	-4.768372e-10
2.568936e+00	3.050194e-01	-8.344650e-10
2.832660e+00	3.052673e-01	-1.788139e-09
2.921228e+00	3.053551e-01	-1.072884e-09
3.009268e+00	3.054276e-01	-1.072884e-09
3.096565e+00	3.054276e-01	-7.152557e-10
3.361118e+00	3.056335e-01	-7.152557e-10
3.448632e+00	3.056183e-01	-1.192093e-10
3.536654e+00	3.056412e-01	-2.384186e-10
3.624815e+00	3.056107e-01	-2.145767e-09
3.889134e+00	3.058624e-01	-9.536743e-10
3.978302e+00	3.057671e-01	-8.344650e-10
4.064688e+00	3.056679e-01	-1.072884e-09
4.153423e+00	3.055725e-01	-1.192093e-09
4.417424e+00	3.054962e-01	-3.576279e-10
4.505209e+00	3.055077e-01	5.960464e-10
4.592983e+00	3.053741e-01	-5.960464e-10
4.680773e+00	3.053398e-01	-1.072884e-09
4.945227e+00	3.052940e-01	-7.152557e-10
5.032989e+00	3.052063e-01	-5.960464e-10
5.121574e+00	3.051910e-01	-5.960464e-10
5.208712e+00	3.051491e-01	-9.536743e-10
5.472874e+00	3.052483e-01	-1.311302e-09
5.561492e+00	3.052139e-01	-8.344650e-10
5.649595e+00	3.051605e-01	-1.072884e-09
5.737326e+00	3.051949e-01	-1.549721e-09
6.001316e+00	3.052177e-01	-9.536743e-10
6.089563e+00	3.051376e-01	-8.344650e-10
6.176659e+00	3.051491e-01	-1.311302e-09
6.264900e+00	3.051605e-01	-8.344650e-10
6.529064e+00	3.050766e-01	-1.072884e-09
6.617452e+00	3.050270e-01	-8.344650e-10
6.705195e+00	3.051186e-01	-1.311302e-09
6.793509e+00	3.051949e-01	-1.549721e-09
7.056892e+00	3.053131e-01	-1.549721e-09
7.145417e+00	3.052826e-01	-2.622604e-09
7.233175e+00	3.053818e-01	-1.192093e-09
7.321447e+00	3.054352e-01	-7.152557e-10
7.585134e+00	3.055305e-01	-1.549721e-09
7.672770e+00	3.056183e-01	-1.668930e-09
7.761481e+00	3.056488e-01	-2.503395e-09
7.849431e+00	3.057480e-01	-2.264977e-09
8.113335e+00	3.060875e-01	-9.536743e-10
8.201009e+00	3.060493e-01	-7.152557e-10
8.288937e+00	3.061485e-01	-1.072884e-09
8.377160e+00	3.061562e-01	-1.549721e-09
8.640753e+00	3.064537e-01	-1.311302e-09
8.728693e+00	3.065987e-01	-4.768372e-10
8.816932e+00	3.066101e-01	-8.344650e-10
8.904843e+00	3.066711e-01	-4.768372e-10
9.168747e+00	3.066711e-01	-7.152557e-10
9.257565e+00	3.067055e-01	-1.311302e-09
9.345273e+00	3.067207e-01	-1.192093e-10
9.433218e+00	3.067703e-01	-1.192093e-10
9.697568e+00	3.068085e-01	-5.960464e-10
9.785079e+00	3.068733e-01	-1.072884e-09
9.873094e+00	3.067665e-01	-1.430511e-09
9.961065e+00	3.067551e-01	-8.344650e-10
