Elapsed time(s)	Potential(V)	Current(A)
4.609709e-02	-4.230499e-03	1.668930e-07
1.385963e-01	-7.808685e-03	1.430511e-07
2.273572e-01	-1.386261e-02	1.907349e-07
3.147447e-01	-2.027893e-02	1.192093e-07
4.026656e-01	-2.630615e-02	1.907349e-07
4.911033e-01	-3.230667e-02	1.668930e-07
5.794561e-01	-3.779221e-02	1.192093e-07
6.670568e-01	-4.214859e-02	1.788139e-07
7.548164e-01	-4.622269e-02	1.907349e-07
8.426093e-01	-4.969788e-02	1.788139e-07
9.305698e-01	-5.260849e-02	1.311302e-07
1.018504e+00	-5.560684e-02	1.430511e-07
1.107450e+00	-5.780792e-02	2.026558e-07
1.194834e+00	-5.974579e-02	1.549721e-07
1.283040e+00	-6.119537e-02	1.668930e-07
1.370704e+00	-6.131744e-02	1.192093e-07
1.458578e+00	-5.955887e-02	1.907349e-07
1.547144e+00	-5.682373e-02	7.152557e-08
1.635101e+00	-4.053879e-02	1.549721e-07
1.722747e+00	-4.120636e-02	1.668930e-07
1.811436e+00	-3.352356e-02	1.311302e-07
1.899191e+00	-2.071381e-02	2.026558e-07
1.987092e+00	-2.483749e-02	8.344650e-08
2.074918e+00	-1.519012e-02	1.192093e-07
2.162974e+00	-1.356888e-02	1.311302e-07
2.250975e+00	-1.724625e-02	8.344650e-08
2.339153e+00	-1.101303e-02	1.072884e-07
2.427251e+00	-1.012802e-02	1.072884e-07
2.515076e+00	-1.216507e-02	1.430511e-07
2.602929e+00	-8.567810e-03	1.311302e-07
2.690845e+00	-7.602692e-03	1.430511e-07
2.778790e+00	-8.216858e-03	9.536743e-08
2.866716e+00	-6.595612e-03	1.311302e-07
2.955037e+00	-6.072998e-03	1.430511e-07
3.043203e+00	-6.511688e-03	1.311302e-07
3.130902e+00	-5.500793e-03	1.311302e-07
3.218540e+00	-5.363464e-03	8.344650e-08
3.307260e+00	-5.744934e-03	1.668930e-07
3.394846e+00	-4.791260e-03	1.788139e-07
3.482499e+00	-4.955292e-03	1.311302e-07
3.571388e+00	-5.222321e-03	1.192093e-07
3.659211e+00	-4.524231e-03	1.192093e-07
3.747021e+00	-4.878998e-03	1.430511e-07
3.834688e+00	-4.981995e-03	1.668930e-07
3.922563e+00	-4.375458e-03	1.788139e-07
4.011455e+00	-4.730225e-03	1.311302e-07
4.099450e+00	-4.619598e-03	1.668930e-07
4.186617e+00	-4.169464e-03	1.430511e-07
4.275409e+00	-4.661560e-03	1.311302e-07
4.363353e+00	-4.352570e-03	1.192093e-07
4.451126e+00	-4.116058e-03	1.668930e-07
4.539081e+00	-4.642487e-03	1.549721e-07
4.627076e+00	-4.161835e-03	1.907349e-07
4.715438e+00	-4.188538e-03	1.788139e-07
4.802771e+00	-4.661560e-03	1.072884e-07
4.890881e+00	-4.081726e-03	1.668930e-07
4.978682e+00	-4.356384e-03	1.430511e-07
5.066987e+00	-4.550934e-03	1.192093e-07
5.155051e+00	-3.963470e-03	1.549721e-07
5.243271e+00	-4.314423e-03	1.072884e-07
5.330721e+00	-4.264832e-03	7.152557e-08
5.419153e+00	-3.890991e-03	1.311302e-07
5.506637e+00	-4.180908e-03	1.192093e-07
5.595183e+00	-3.879547e-03	8.344650e-08
5.682529e+00	-3.803253e-03	1.311302e-07
5.770856e+00	-4.337311e-03	1.192093e-07
5.859188e+00	-3.959656e-03	7.152557e-08
5.946653e+00	-4.047394e-03	9.536743e-08
6.035425e+00	-4.379272e-03	1.192093e-07
6.122828e+00	-3.982544e-03	1.430511e-07
6.211924e+00	-4.272461e-03	1.668930e-07
6.299455e+00	-4.314423e-03	1.430511e-07
6.386581e+00	-4.028320e-03	7.152557e-08
6.474929e+00	-4.337311e-03	1.311302e-07
6.563324e+00	-4.062653e-03	1.072884e-07
6.650886e+00	-3.936768e-03	1.788139e-07
6.739436e+00	-4.318237e-03	2.145767e-07
6.827644e+00	-3.902435e-03	1.430511e-07
6.915013e+00	-3.990173e-03	1.192093e-07
7.003448e+00	-4.146576e-03	1.311302e-07
7.091153e+00	-3.875732e-03	1.549721e-07
7.178847e+00	-4.062653e-03	2.264977e-07
7.266510e+00	-3.692627e-03	2.145767e-07
7.354956e+00	-3.692627e-03	1.430511e-07
7.442621e+00	-3.772736e-03	1.192093e-07
7.531117e+00	-3.623962e-03	1.668930e-07
7.619309e+00	-3.845215e-03	2.026558e-07
7.707333e+00	-3.612518e-03	1.192093e-07
7.795649e+00	-3.551483e-03	1.192093e-07
7.883195e+00	-3.826141e-03	1.311302e-07
7.971375e+00	-3.479004e-03	1.549721e-07
8.059268e+00	-3.501892e-03	2.026558e-07
8.146962e+00	-3.517151e-03	1.788139e-07
8.234600e+00	-3.498077e-03	1.788139e-07
8.322889e+00	-3.566742e-03	9.536743e-08
8.411313e+00	-3.559113e-03	1.072884e-07
8.499404e+00	-3.673553e-03	9.536743e-08
8.587595e+00	-3.704071e-03	1.788139e-07
8.676120e+00	-3.726959e-03	9.536743e-08
8.762868e+00	-3.768921e-03	1.192093e-07
8.850965e+00	-3.749847e-03	9.536743e-08
8.938625e+00	-3.707886e-03	1.311302e-07
9.026767e+00	-3.688812e-03	1.311302e-07
9.114802e+00	-3.711700e-03	1.430511e-07
9.203264e+00	-3.910065e-03	1.549721e-07
9.290530e+00	-4.211426e-03	1.549721e-07
9.378967e+00	-4.657745e-03	1.907349e-07
9.467401e+00	-5.161285e-03	1.311302e-07
9.554972e+00	-5.371094e-03	1.192093e-07
9.642766e+00	-5.516052e-03	9.536743e-08
9.731271e+00	-5.393982e-03	1.430511e-07
9.818534e+00	-5.096436e-03	1.668930e-07
9.906919e+00	-4.756927e-03	1.192093e-07
9.995396e+00	-4.367828e-03	9.536743e-08
1.008275e+01	-4.142761e-03	8.344650e-08
1.017097e+01	-3.868103e-03	1.430511e-07
1.026088e+01	-3.707886e-03	1.430511e-07
1.034745e+01	-3.570557e-03	1.430511e-07
1.043479e+01	-3.482819e-03	1.668930e-07
1.052325e+01	-3.459930e-03	1.192093e-07
1.061083e+01	-3.341675e-03	1.311302e-07
