Elapsed time(s)	Potential(V)	Current(A)
1.927474e-01	-5.065155e-02	-2.026558e-07
2.806996e-01	-9.098434e-02	-2.264977e-07
3.679420e-01	-1.112671e-01	-2.145767e-07
4.558762e-01	-1.219559e-01	-1.788139e-07
7.204608e-01	-1.257706e-01	-1.311302e-07
8.085128e-01	-1.258888e-01	-1.549721e-07
8.959504e-01	-1.258850e-01	-2.026558e-07
9.839914e-01	-1.259117e-01	-1.668930e-07
1.247925e+00	-1.257858e-01	-1.788139e-07
1.336089e+00	-1.257744e-01	-1.549721e-07
1.423911e+00	-1.258049e-01	-1.788139e-07
1.511970e+00	-1.258125e-01	-2.145767e-07
1.776239e+00	-1.258202e-01	-1.907349e-07
1.864770e+00	-1.257782e-01	-1.668930e-07
1.952710e+00	-1.258316e-01	-2.384186e-07
2.040162e+00	-1.257439e-01	-1.549721e-07
2.304130e+00	-1.252518e-01	-2.264977e-07
2.392059e+00	-1.249428e-01	-2.145767e-07
2.480498e+00	-1.245956e-01	-2.622604e-07
2.568448e+00	-1.240616e-01	-2.741814e-07
2.832172e+00	-1.220589e-01	-2.503395e-07
2.920545e+00	-1.210938e-01	-1.549721e-07
3.008658e+00	-1.202888e-01	-9.536743e-08
3.096502e+00	-1.195450e-01	-1.192093e-07
3.360238e+00	-1.166229e-01	-1.549721e-07
3.448655e+00	-1.152725e-01	-1.549721e-07
3.535911e+00	-1.140480e-01	-1.072884e-07
3.624321e+00	-1.127625e-01	-2.145767e-07
3.887938e+00	-1.104584e-01	-2.145767e-07
3.976328e+00	-1.096649e-01	-2.145767e-07
4.064699e+00	-1.089020e-01	-1.311302e-07
4.152688e+00	-1.078300e-01	-2.622604e-07
4.416579e+00	-1.053581e-01	-2.384186e-07
4.504833e+00	-1.043625e-01	-2.145767e-07
4.592807e+00	-1.032486e-01	-1.668930e-07
4.680161e+00	-1.024742e-01	-1.311302e-07
4.944319e+00	-1.011658e-01	-2.145767e-07
5.032631e+00	-1.006279e-01	-2.622604e-07
5.120536e+00	-9.955978e-02	-1.549721e-07
5.207996e+00	-9.896088e-02	-2.145767e-07
5.471958e+00	-9.696198e-02	-2.264977e-07
5.560189e+00	-9.638596e-02	-1.311302e-07
5.648638e+00	-9.582901e-02	-1.668930e-07
5.735911e+00	-9.531784e-02	-1.192093e-07
