Elapsed time(s)	Potential(V)	Current(A)
1.848482e-01	-2.204132e-02	-5.125999e-07
2.720233e-01	-2.046204e-02	-5.245209e-07
3.599358e-01	-1.944351e-02	-5.006790e-07
4.477664e-01	-1.862717e-02	-4.768372e-07
7.117375e-01	-1.685715e-02	-5.125999e-07
8.003664e-01	-1.659012e-02	-5.364418e-07
8.875929e-01	-1.621246e-02	-5.364418e-07
9.757073e-01	-1.574326e-02	-5.245209e-07
1.240568e+00	-1.435471e-02	-4.768372e-07
1.328270e+00	-1.408386e-02	-4.887581e-07
1.415633e+00	-1.379395e-02	-5.006790e-07
1.504238e+00	-1.369095e-02	-5.364418e-07
