Elapsed time(s)	Potential(V)	Current(A)
1.911381e-01	3.048439e-01	-5.960464e-10
2.836653e-01	3.047638e-01	-1.072884e-09
3.717083e-01	3.047256e-01	-5.960464e-10
4.595731e-01	3.044891e-01	-4.768372e-10
7.236555e-01	3.044777e-01	-1.192093e-10
8.114472e-01	3.042259e-01	-4.768372e-10
8.991310e-01	3.042336e-01	-1.192093e-10
9.877025e-01	3.042755e-01	-4.768372e-10
1.251356e+00	3.040848e-01	-1.192093e-09
1.339577e+00	3.040924e-01	8.344650e-10
1.427991e+00	3.039398e-01	-4.768372e-10
1.515309e+00	3.039856e-01	-1.192093e-10
1.779948e+00	3.037453e-01	-5.960464e-10
1.867451e+00	3.035812e-01	-9.536743e-10
1.955255e+00	3.033943e-01	-3.576279e-10
2.043196e+00	3.033485e-01	-5.960464e-10
2.313719e+00	3.032532e-01	-1.668930e-09
2.395921e+00	3.032570e-01	-2.384186e-10
2.483950e+00	3.032913e-01	-5.960464e-10
2.573887e+00	3.032837e-01	-1.072884e-09
2.835627e+00	3.031960e-01	-1.430511e-09
2.923222e+00	3.031120e-01	-9.536743e-10
3.011955e+00	3.031502e-01	-7.152557e-10
3.099989e+00	3.030434e-01	3.576279e-10
3.363316e+00	3.027725e-01	2.384186e-10
3.451727e+00	3.027954e-01	-1.192093e-09
3.539877e+00	3.028336e-01	-1.430511e-09
3.628186e+00	3.028984e-01	-1.192093e-09
3.892184e+00	3.029442e-01	-7.152557e-10
3.979612e+00	3.030815e-01	-3.576279e-10
4.068157e+00	3.029518e-01	-1.788139e-09
4.155359e+00	3.029594e-01	-1.072884e-09
4.419579e+00	3.028908e-01	-1.311302e-09
4.508019e+00	3.028679e-01	-1.549721e-09
4.595305e+00	3.027000e-01	-1.430511e-09
4.683206e+00	3.028183e-01	-9.536743e-10
4.948214e+00	3.028755e-01	-3.576279e-10
5.035844e+00	3.028526e-01	-8.344650e-10
5.123619e+00	3.027420e-01	-1.192093e-10
5.211829e+00	3.027382e-01	-4.768372e-10
5.475610e+00	3.025818e-01	-5.960464e-10
5.563690e+00	3.025780e-01	-8.344650e-10
5.651813e+00	3.024635e-01	-4.768372e-10
5.740042e+00	3.025360e-01	-1.430511e-09
6.003815e+00	3.025475e-01	4.768372e-10
6.091555e+00	3.026390e-01	-1.072884e-09
6.179509e+00	3.026199e-01	-1.192093e-10
6.267401e+00	3.028069e-01	-1.430511e-09
6.532069e+00	3.027191e-01	-5.960464e-10
6.620165e+00	3.033028e-01	-1.311302e-09
6.707975e+00	3.039322e-01	-7.152557e-10
6.796098e+00	3.042488e-01	3.576279e-10
7.059306e+00	3.041763e-01	-9.536743e-10
7.147092e+00	3.040848e-01	-9.536743e-10
7.235794e+00	3.040504e-01	-5.960464e-10
7.323229e+00	3.040199e-01	-1.192093e-09
7.587679e+00	3.040962e-01	-1.192093e-09
7.675597e+00	3.040619e-01	-2.384186e-10
7.764101e+00	3.041420e-01	-7.152557e-10
7.851716e+00	3.040848e-01	-8.344650e-10
8.115403e+00	3.039932e-01	-3.576279e-10
8.203410e+00	3.039742e-01	-1.192093e-09
8.291789e+00	3.040352e-01	-1.192093e-10
8.379676e+00	3.041153e-01	-5.960464e-10
8.643290e+00	3.044014e-01	-1.192093e-10
8.731910e+00	3.044052e-01	-1.549721e-09
8.819615e+00	3.044853e-01	-2.384186e-10
8.907652e+00	3.044128e-01	-1.549721e-09
9.172166e+00	3.045731e-01	-4.768372e-10
9.259728e+00	3.046875e-01	-8.344650e-10
9.347238e+00	3.047523e-01	-1.192093e-09
9.436050e+00	3.047752e-01	-1.907349e-09
9.699261e+00	3.044395e-01	-5.960464e-10
9.787849e+00	3.043518e-01	-1.192093e-09
9.875560e+00	3.047066e-01	-4.768372e-10
9.963612e+00	3.048248e-01	-1.668930e-09
1.022779e+01	3.051071e-01	-4.768372e-10
1.031566e+01	3.051872e-01	-1.072884e-09
1.040312e+01	3.053322e-01	-1.192093e-09
1.049113e+01	3.051491e-01	-5.960464e-10
1.075557e+01	3.051834e-01	-3.576279e-10
1.084343e+01	3.051758e-01	-1.192093e-10
1.093217e+01	3.050804e-01	-1.788139e-09
1.101955e+01	3.048134e-01	-5.960464e-10
1.128410e+01	3.047562e-01	-8.344650e-10
1.137146e+01	3.044357e-01	-1.192093e-09
1.146032e+01	3.040924e-01	-1.072884e-09
1.154759e+01	3.041039e-01	-1.192093e-09
1.181168e+01	3.052826e-01	-1.192093e-10
1.189998e+01	3.053780e-01	-1.192093e-09
