Elapsed time(s)	Potential(V)	Current(A)
1.906371e-01	-2.414703e-03	-1.668930e-07
2.779885e-01	-2.540588e-03	-8.344650e-08
3.655309e-01	-2.479553e-03	-1.668930e-07
4.545611e-01	-2.403259e-03	-9.536743e-08
7.181766e-01	-1.689911e-03	-9.536743e-08
8.095679e-01	-1.506805e-03	-9.536743e-08
8.936836e-01	-1.029968e-03	-2.026558e-07
9.815121e-01	-4.806519e-04	-1.668930e-07
1.247000e+00	-1.132965e-03	-1.311302e-07
1.334536e+00	-4.501343e-04	-1.311302e-07
1.422335e+00	-2.117157e-03	-1.668930e-07
1.510305e+00	-2.613068e-03	-1.192093e-07
1.773905e+00	-3.070831e-03	-1.311302e-07
1.862454e+00	-2.983093e-03	-1.430511e-07
1.950656e+00	-2.834320e-03	-9.536743e-08
2.038700e+00	-2.761841e-03	-1.668930e-07
2.302418e+00	-2.391815e-03	-1.311302e-07
2.389819e+00	-2.220154e-03	-1.311302e-07
2.478736e+00	-2.079010e-03	-1.192093e-07
2.566519e+00	-1.979828e-03	-1.192093e-07
2.830347e+00	-1.842499e-03	-1.311302e-07
2.917790e+00	-1.808167e-03	-1.072884e-07
