Elapsed time(s)	Potential(V)	Current(A)
1.828288e-01	-1.556778e-02	-3.337860e-07
2.705832e-01	-7.701874e-03	-3.099442e-07
3.589927e-01	-4.009247e-03	-2.741814e-07
4.465134e-01	-4.692078e-04	-2.741814e-07
7.104025e-01	-5.695343e-03	-3.814697e-07
7.986154e-01	-7.621765e-03	-3.814697e-07
8.869586e-01	-7.743835e-03	-3.933907e-07
9.742439e-01	-9.422302e-04	-3.695488e-07
1.238537e+00	-1.876831e-03	-3.814697e-07
1.327098e+00	-2.380371e-03	-3.576279e-07
1.414280e+00	-2.815247e-03	-3.099442e-07
1.502405e+00	-3.326416e-03	-3.099442e-07
1.767341e+00	-3.509140e-02	-4.172325e-07
1.854652e+00	-2.827072e-02	-3.099442e-07
1.942656e+00	-1.558304e-02	-4.172325e-07
2.030891e+00	-1.080322e-02	-3.218651e-07
2.294838e+00	-3.028870e-03	-3.695488e-07
