Elapsed time(s)	Potential(V)	Current(A)
1.868084e-01	8.623810e-01	-1.013279e-06
2.742963e-01	8.450546e-01	-1.025200e-06
3.767272e-01	8.291130e-01	-1.049042e-06
4.508867e-01	8.123970e-01	-1.084805e-06
7.149411e-01	7.785072e-01	-1.060963e-06
8.028577e-01	7.678108e-01	-1.072884e-06
8.906448e-01	7.573853e-01	-1.072884e-06
9.780729e-01	7.472458e-01	-1.060963e-06
2.562228e+00	6.135025e-01	-1.025200e-06
2.650079e+00	6.077118e-01	-1.025200e-06
2.738005e+00	6.020546e-01	-1.108646e-06
2.826584e+00	5.964165e-01	-1.060963e-06
3.090475e+00	5.803185e-01	-1.013279e-06
3.179045e+00	5.750847e-01	-9.655952e-07
3.266345e+00	5.696793e-01	-1.013279e-06
3.354885e+00	5.642738e-01	-1.025200e-06
3.618329e+00	5.457687e-01	-1.037121e-06
3.706736e+00	5.410500e-01	-9.894371e-07
3.794640e+00	5.360107e-01	-1.025200e-06
3.882240e+00	5.312767e-01	-1.037121e-06
5.379152e+00	4.651833e-01	-1.108646e-06
5.466122e+00	4.615440e-01	-1.049042e-06
5.554396e+00	4.579468e-01	-1.001358e-06
5.642159e+00	4.548073e-01	-1.060963e-06
5.906900e+00	4.453316e-01	-1.168251e-06
5.994179e+00	4.421730e-01	-1.001358e-06
6.082877e+00	4.392052e-01	-1.072884e-06
6.170719e+00	4.359436e-01	-1.060963e-06
6.434182e+00	4.269333e-01	-1.120567e-06
6.522469e+00	4.238663e-01	-1.108646e-06
6.610396e+00	4.207497e-01	-1.084805e-06
6.698145e+00	4.177399e-01	-1.132488e-06
6.962827e+00	4.087334e-01	-1.156330e-06
7.050511e+00	4.061356e-01	-1.060963e-06
7.138428e+00	4.025459e-01	-1.096725e-06
8.106223e+00	3.994560e-01	-1.108646e-06
8.370723e+00	3.637505e-01	-1.025200e-06
8.458175e+00	3.609314e-01	-1.060963e-06
8.546762e+00	3.582458e-01	-1.084805e-06
8.634877e+00	3.554192e-01	-1.060963e-06
8.899054e+00	3.468971e-01	-1.072884e-06
8.986752e+00	3.441811e-01	-1.049042e-06
9.074637e+00	3.418083e-01	-1.084805e-06
9.162451e+00	3.395615e-01	-1.096725e-06
9.426406e+00	3.325768e-01	-1.084805e-06
9.514692e+00	3.301811e-01	-1.108646e-06
9.602503e+00	3.273659e-01	-1.108646e-06
9.690408e+00	3.241501e-01	-1.096725e-06
1.074644e+01	2.893562e-01	-1.037121e-06
1.083446e+01	2.880630e-01	-1.108646e-06
1.092236e+01	2.855606e-01	-1.072884e-06
1.101055e+01	2.805481e-01	-1.037121e-06
1.127447e+01	2.888756e-01	-1.013279e-06
1.136246e+01	2.987404e-01	-1.072884e-06
1.145024e+01	3.059731e-01	-1.060963e-06
1.153920e+01	3.104172e-01	-1.096725e-06
