Elapsed time(s)	Potential(V)	Current(A)
1.819139e-01	-1.453400e-03	-1.430511e-07
2.703657e-01	-1.426697e-03	-1.549721e-07
5.343927e-01	-1.110077e-03	-1.311302e-07
6.225010e-01	-1.091003e-03	-1.788139e-07
7.095551e-01	-1.106262e-03	-1.549721e-07
7.981626e-01	-1.140594e-03	-1.668930e-07
1.062046e+00	-1.232147e-03	-1.668930e-07
1.150521e+00	-1.132965e-03	-1.311302e-07
1.237699e+00	-7.553101e-04	-1.668930e-07
1.325725e+00	-5.455017e-04	-1.311302e-07
1.589671e+00	-6.675720e-04	-1.788139e-07
1.680438e+00	-8.735657e-04	-2.026558e-07
1.766216e+00	-1.342773e-03	-1.668930e-07
1.854163e+00	-1.506805e-03	-1.192093e-07
2.117597e+00	-1.651764e-03	-1.668930e-07
2.205920e+00	-1.735687e-03	-1.311302e-07
2.293767e+00	-1.918793e-03	-1.788139e-07
2.381938e+00	-1.823425e-03	-1.192093e-07
2.646554e+00	-5.950928e-04	-1.430511e-07
2.733407e+00	-7.667542e-04	-2.026558e-07
2.821711e+00	-9.613037e-04	-1.430511e-07
2.910582e+00	-5.569458e-04	-1.788139e-07
